50000
11.25 , 0, 22861
8 , 0, 31447
0.75 , 0, 22279
10.75 , 0, 11250
0.25 , 0, 9195
9.5 , 0, 13168
2464.5 , 0, 0
10.25 , 1, 18381
2434.25 , 1, 1
9.5 , 2, 21370
1.25 , 2, 28347
2434.75 , 2, 2
11.25 , 3, 13847
7.5 , 3, 7576
3 , 3, 26355
7.75 , 3, 6663
1.75 , 3, 6750
10.75 , 3, 28371
1.75 , 3, 8738
0.5 , 3, 10883
7.75 , 3, 31223
2476 , 3, 3
6 , 4, 420
3.75 , 4, 17602
4 , 4, 20422
1.5 , 4, 7631
4.75 , 4, 1707
2444 , 4, 4
11.75 , 5, 25077
6.25 , 5, 12304
2442 , 5, 5
0.25 , 6, 24592
11.25 , 6, 16843
2 , 6, 28081
10.25 , 6, 30742
2447.75 , 6, 6
8.25 , 7, 13331
0.75 , 7, 10795
5.5 , 7, 18769
11.75 , 7, 19729
7.5 , 7, 27095
7 , 7, 6325
0.5 , 7, 26134
9 , 7, 828
2.75 , 7, 6269
9.5 , 7, 1688
5 , 7, 30628
7 , 7, 25689
2498.5 , 7, 7
1.25 , 8, 6346
7.25 , 8, 23494
0.5 , 8, 13953
7.75 , 8, 1581
3.5 , 8, 4008
2.25 , 8, 19831
11.5 , 8, 12954
5.5 , 8, 12543
2463.5 , 8, 8
5.5 , 9, 2213
5 , 9, 19621
2434.5 , 9, 9
12.25 , 10, 13758
6.75 , 10, 22046
6.75 , 10, 8306
1.75 , 10, 1166
10 , 10, 13856
5 , 10, 29818
7.5 , 10, 18333
8 , 10, 13862
11.25 , 10, 14361
2.25 , 10, 16438
2495.5 , 10, 10
10.75 , 11, 1807
8.5 , 11, 22435
6 , 11, 12789
3.5 , 11, 31545
5.75 , 11, 28812
2.25 , 11, 30806
8.25 , 11, 21267
12.25 , 11, 21912
12.25 , 11, 24500
5.25 , 11, 13777
1.75 , 11, 25012
2500.5 , 11, 11
6 , 12, 3276
3.25 , 12, 10813
11.25 , 12, 22048
2444.5 , 12, 12
10.25 , 13, 15297
10.75 , 13, 8942
7.5 , 13, 1166
2.75 , 13, 18710
4.25 , 13, 10146
12 , 13, 4779
9 , 13, 18368
5.25 , 13, 21852
10.75 , 13, 10844
0.5 , 13, 26506
2497 , 13, 13
1.25 , 14, 5725
5.5 , 14, 1
8.5 , 14, 27421
9 , 14, 18663
4.5 , 14, 21400
0.75 , 14, 29120
10.5 , 14, 3345
12.25 , 14, 16530
8 , 14, 8537
10.5 , 14, 15942
10.25 , 14, 5710
2505 , 14, 14
2.5 , 15, 594
11.75 , 15, 13986
3.25 , 15, 24981
2441.5 , 15, 15
4.75 , 16, 22494
2 , 16, 1154
1.5 , 16, 16806
8.25 , 16, 10369
3.25 , 16, 6718
1.75 , 16, 4242
0.5 , 16, 31821
5.5 , 16, 26932
2451.5 , 16, 16
8.75 , 17, 6625
2432.75 , 17, 17
0.5 , 18, 9093
1.5 , 18, 4276
11.75 , 18, 2986
9 , 18, 21422
9 , 18, 7793
5.75 , 18, 19882
8.25 , 18, 25141
11.25 , 18, 8573
2481 , 18, 18
7 , 19, 18179
4 , 19, 11060
5.75 , 19, 20986
0.5 , 19, 9886
0.75 , 19, 6136
2442 , 19, 19
6.5 , 20, 7947
10.5 , 20, 19315
1 , 20, 28341
11.5 , 20, 32194
3.75 , 20, 3253
10.75 , 20, 1881
3.5 , 20, 8278
2471.5 , 20, 20
2.25 , 21, 27862
8.25 , 21, 535
9.75 , 21, 19658
9.5 , 21, 22577
2.75 , 21, 11090
4.25 , 21, 21705
3.25 , 21, 16876
9.75 , 21, 9321
2.75 , 21, 393
7.5 , 21, 8369
10.5 , 21, 31460
4.75 , 21, 6986
2499.25 , 21, 21
7.75 , 22, 8465
9 , 22, 21788
6 , 22, 6745
5 , 22, 30145
0.5 , 22, 4933
3 , 22, 5945
2455.25 , 22, 22
3.5 , 23, 18425
4.5 , 23, 14815
2432 , 23, 23
9.5 , 24, 14275
12.25 , 24, 13467
7.25 , 24, 14068
2453 , 24, 24
9.5 , 25, 30042
1.5 , 25, 21231
12.25 , 25, 9659
2.5 , 25, 15487
7.25 , 25, 2059
8 , 25, 11374
2465 , 25, 25
8.25 , 26, 8308
11.75 , 26, 30291
2444 , 26, 26
7 , 27, 32369
9.25 , 27, 15787
2440.25 , 27, 27
4.75 , 28, 14981
8.25 , 28, 299
1.75 , 28, 31789
9.5 , 28, 28757
5 , 28, 7187
1.25 , 28, 16202
5 , 28, 13956
2459.5 , 28, 28
11.75 , 29, 27871
10.75 , 29, 16932
12 , 29, 12018
11 , 29, 32481
3 , 29, 30975
3.25 , 29, 20773
11 , 29, 20718
1.5 , 29, 23888
3.75 , 29, 26159
0.75 , 29, 30565
2492.75 , 29, 29
10.25 , 30, 7945
11.5 , 30, 15107
8.25 , 30, 4143
7 , 30, 24472
2461 , 30, 30
2 , 31, 4757
8.25 , 31, 7377
11 , 31, 27521
8 , 31, 13141
5.25 , 31, 15077
12 , 31, 28082
7.25 , 31, 9196
10.75 , 31, 11671
5.5 , 31, 25555
9 , 31, 22853
2.5 , 31, 19194
2505.5 , 31, 31
9.25 , 32, 15680
2.25 , 32, 19515
7.5 , 32, 13898
10.25 , 32, 5754
2453.25 , 32, 32
11.25 , 33, 14225
11.25 , 33, 27773
2 , 33, 296
11 , 33, 12030
11.25 , 33, 6836
4.5 , 33, 19711
10 , 33, 26216
2485.25 , 33, 33
5.25 , 34, 3678
9 , 34, 24627
5.5 , 34, 27817
1.75 , 34, 23863
11 , 34, 28211
9.75 , 34, 24446
1.5 , 34, 14184
10.25 , 34, 20968
2.5 , 34, 18013
0.75 , 34, 16488
10.75 , 34, 3244
2492 , 34, 34
12 , 35, 24688
4 , 35, 23422
6 , 35, 32170
11.5 , 35, 21993
6.75 , 35, 7913
7.75 , 35, 23933
11.5 , 35, 30559
6 , 35, 11545
2489.5 , 35, 35
2.5 , 36, 30736
3.25 , 36, 5635
10 , 36, 5510
2 , 36, 4920
8 , 36, 5575
2449.75 , 36, 36
10.75 , 37, 9985
4.5 , 37, 31364
8 , 37, 14023
2447.25 , 37, 37
5.25 , 38, 23443
12 , 38, 22824
1.5 , 38, 17824
3 , 38, 19019
2445.75 , 38, 38
11.25 , 39, 28959
1.75 , 39, 31344
2.75 , 39, 25988
2 , 39, 27339
1 , 39, 23735
7.25 , 39, 19602
12 , 39, 31426
6.75 , 39, 5717
5.5 , 39, 11725
7.25 , 39, 910
7.25 , 39, 19021
11.5 , 39, 12921
2500.25 , 39, 39
1.5 , 40, 14200
3 , 40, 21541
9.5 , 40, 16380
11.75 , 40, 8907
11.25 , 40, 23280
12 , 40, 4704
10.75 , 40, 267
1.75 , 40, 28518
0.75 , 40, 25108
2 , 40, 24583
2488.25 , 40, 40
5 , 41, 3737
2.5 , 41, 31588
5.75 , 41, 27108
12 , 41, 27435
9.75 , 41, 30763
4.5 , 41, 19303
1.75 , 41, 23815
1 , 41, 15517
